"teamNum","matchNum","alliance","driveStation","startLocation","preload","mobility","autoPickups","autoFailedPickups","autoCones","autoCubes","autoBalance","communityPickups","neutralPickups","singlePickups","doublePickups","teleopCones","teleopCubes","shuttle","teleopBalance","buddyClimb","driver","scoutName","comments","scoredT","scoredA","scoredCones","scoredCubes","totalPickups","scoredLowT","scoredMidT","scoredHighT","scoredLowA","scoredMidA","scoredHighA","scoredTCones","scoredTCubes","scoredACones","scoredACubes","pointsT","pointsA","pointsTotal","ct"
9156,1,"r","r3",1,"cone",TRUE,NA,NA,"9",NA,"na",0,0,0,3,"1,3","11",FALSE,"fail",FALSE,3,"soriano","jammed intake once when intaking cone from shelf, fell off side of charge station, decent cycle time
",3,1,3,1,4,0,1,2,0,0,1,2,1,1,0,13,6,19,45
2848,1,"r","r2",2,"cube",TRUE,NA,NA,NA,"5","na",0,1,0,3,"4,6,7,12",NA,FALSE,"fail",FALSE,4,"novinski","fast swerve, intakes only from shelf mostly, almost got a g201 violation
",4,1,4,1,5,0,1,3,0,0,1,4,0,0,1,18,6,24,33.75
2882,1,"b","b3",1,"cube",TRUE,NA,NA,NA,"19","na",0,0,1,2,NA,"2,20,21",FALSE,"engage",TRUE,2,"Poon","Bot a little slow and top heavy, intake very finicky and slow to intake, game pieces knocked out easily. 
",3,1,0,4,4,2,0,1,1,0,0,0,3,0,1,9,3,12,45
4063,1,"b","b2",3,"cone",TRUE,NA,NA,"9",NA,"na",2,0,0,1,"6","25,26",FALSE,"na",FALSE,1,"Duhe","- randomly paused sometimes for 15+ seconds for seemingly no reason- slow
",3,1,2,2,4,2,0,1,0,0,1,1,2,1,0,9,6,15,45
3679,1,"b","b1",2,"cone",FALSE,NA,NA,"7",NA,"dock",0,5,2,0,NA,"27,8,25,22,23",FALSE,"engage",FALSE,3,"harold","Has some trouble keeping the cube in the indexer. It is not very secure. Decent speed. 
",5,1,1,5,6,4,0,1,0,0,1,0,5,1,0,13,6,19,27
5892,1,"r","r1",2,"cube",TRUE,NA,NA,"26","8,27,25,23,24","dock",0,2,4,0,NA,NA,FALSE,"engage",FALSE,3,"Owen","swerve bot (fairly fast) that can pick up cubes (can also pick up cones but not very well), played a bit of defense, can shoot cubes up to the higher nodes but with inconsistent aim, I think it could be used as a shuttle bot
",0,6,1,5,6,0,0,0,5,0,1,0,0,1,5,0,21,21,0
2689,2,"r","r3",2,"cone",FALSE,NA,NA,"23",NA,"engage",0,4,3,0,NA,"25,23,22,19,20,26",FALSE,"na",FALSE,5,"soriano","very fast swerve, exclusively cubes, exclusively bottom grid scoring, died on field at end of match, but very good overall
",6,1,1,6,7,6,0,0,1,0,0,0,6,1,0,12,3,15,22.5
4219,2,"r","r2",3,"cube",FALSE,"1",NA,"3","2","na",0,2,0,0,"1,21",NA,FALSE,"na",FALSE,1,"novinski","A bit slow and intake is finnicky. died on field quarter of the way into the match
",2,2,3,1,4,1,0,1,0,0,2,2,0,1,1,7,12,19,67.5
9054,2,"b","b1",1,"cone",TRUE,NA,NA,"19",NA,"na",0,0,0,0,NA,NA,FALSE,"engage",FALSE,2,"harold","defense bot. but not a very fast bot and also a tank, so not effective at defense. the intake cannot pick up off ground. probably meant to be a shuttlebot but the cargo probably would not be secure. 
",0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,3,3,0
324,2,"b","b2",2,"cone",TRUE,NA,NA,"4",NA,"engage",0,4,1,0,"6,21","5,2,22",FALSE,"na",FALSE,2,"Duhe","- kinda slow- missed 1/2 of objects in teleop, landed on bottom row
",5,1,3,3,6,2,0,3,0,0,1,2,3,1,0,19,6,25,27
