teamNum,matchNum,alliance,driveStation,startLocation,preload,mobility,autoPickups,autoCones,autoCubes,autoBalance,communityPickups,neutralPickups,singlePickups,doublePickups,teleopCones,teleopCubes,shuttle,teleopBalance,buddyClimb,driver,scoutName,comments,scoredT,scoredA,scoredCones,scoredCubes,totalPickups,scoredLowT,scoredMidT,scoredHightT,scoredLowA,scoredMidA,scoredHighA,scoredTCones,scoredTCubes,scoredACones,scoredACubes,scoredHighT,pointsT,pointsA,pointsTotal,ct
624,1,r,,2,cube,TRUE,NA,NA,5,dock,0,2,2,0,16,"5,17,14,11",FALSE,dock,FALSE,4,harold,tipped over at some point but got back up. arm a bit wobbly. arm extends quite a bit. ,5,2,2,5,7,1,4,0,1,0,0,1,4,1,1,0,14,3,17,25.8
1164,1,b,,3,NA,TRUE,NA,NA,NA,na,0,1,0,2,7,8,FALSE,engage,FALSE,2,Ha,"top-heavy, slow intake and score. arm moves very slowly. lowered charge station to help team climb on. ",2,2,2,2,4,2,0,0,0,0,0,1,1,1,1,0,4,0,4,65.8
3029,1,r,,1,NA,FALSE,NA,NA,NA,na,0,1,0,0,26,NA,FALSE,fail,FALSE,2,rengarajan,"very slow, didn't intake, ruined alliance's dock",2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,1,5,6,11,64
3545,1,b,,1,NA,FALSE,NA,NA,NA,na,0,0,0,0,NA,NA,FALSE,na,FALSE,1,gabri,"no show, dq",2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,67.5
2848,2,b,,2,cube,TRUE,NA,NA,8,na,0,1,0,1,NA,"8,25",FALSE,engage,FALSE,2,Ha,Sat around but still enabled most of match. Decent Charge station action. ,3,2,2,3,5,1,0,0,1,0,0,1,2,1,1,1,7,9,16,43.933
3847,2,r,,1,cube,TRUE,NA,NA,NA,na,0,3,2,1,"7,6","25,23,22,24,5",FALSE,engage,FALSE,5,rengarajan,"very fast and consistent, cube shooter, 1-2 second cone placement",7,2,3,6,9,3,0,0,0,0,0,2,5,1,1,4,26,24,50,18.143
1477,3,b,,2,cone,TRUE,NA,4,NA,engage,0,2,4,0,"4,6,9,7,3,1",NA,FALSE,engage,FALSE,4,Ha,"good manueverability. decent arm action,a little slow. prefers cones. picked up cube but did not score. charge station good",7,2,7,2,9,6,0,0,1,0,0,6,1,1,1,0,12,3,15,18.743
7119,3,r,,1,NA,FALSE,NA,NA,NA,na,0,0,0,0,NA,NA,FALSE,na,FALSE,3,perumandla,no show,2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,67.5
8556,3,r,,1,cube,FALSE,NA,NA,NA,na,0,1,0,0,NA,24,FALSE,na,FALSE,2,harold,intake broke mid-match. it is a slow intake. robot tips often. there appear to be dangling wires on the robot. seemed like it had some potential to score mid or high cubes. they just rotated 90 degrees in auton. ,2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,1,5,6,11,67.5
9054,3,b,,1,NA,TRUE,NA,NA,NA,na,0,0,0,0,NA,NA,TRUE,engage,FALSE,3,gabri,"no intake, just moved around attempting to move pieces",2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,65.275
3676,4,b,,3,cube,TRUE,NA,NA,NA,na,0,0,1,0,NA,23,FALSE,na,FALSE,1,Ha,unable to intake anything. Human player struggled to dispense cones. BUmper dislocation. faulty auton possibly impeded alliance auton charge station. ,2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,1,5,6,11,67.5
7125,4,r,,1,cube,FALSE,NA,NA,"26,27,24",fail,0,0,0,0,NA,"26,27,24",FALSE,fail,FALSE,2,harold,intake appeared to be broken. just soccer-balled the cubes to the low stations. rotated quite slowly for some reason. tried to double climb but ruined it. ,4,4,2,6,8,0,0,0,0,0,3,1,3,1,3,3,15,18,33,33.75
8088,4,b,,1,cone,FALSE,NA,1,NA,na,0,1,0,0,"1,19",20,FALSE,fail,FALSE,2,gabri,fell over on the charge station at the end. mainly pushed pieces into hybdrid nodes. made a cone on a high node in auton,3,2,3,2,5,1,0,0,1,0,0,2,1,1,1,2,12,15,27,37.733
5052,5,r,,1,cube,FALSE,NA,NA,26,na,0,2,0,0,NA,"26,5,25",FALSE,na,FALSE,3,harold,"the intake was a bit slow. it has a pretty cool turret-type rotating arm but it is pretty long, so the robot has to go a bit slow to avoid tipping. shut down mid-match. ",4,2,2,4,6,1,0,0,0,0,1,1,3,1,1,2,12,12,24,33.75
5503,5,r,,2,NA,FALSE,NA,NA,NA,na,0,1,2,0,NA,NA,TRUE,engage,FALSE,4,Ha,pancake bot. good teamwork. decent charge station action ,2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,64.1
6800,5,b,,3,cone,TRUE,NA,27,NA,engage,1,3,1,0,"27,9,7,16","8,17,25",FALSE,engage,FALSE,2,Perumandla,slow intake and sometimes unable to intake from from substatoion if there are no pieces on the field knocked off a teamate from the charge station,7,2,5,4,9,3,2,0,0,0,1,4,3,1,1,2,22,12,34,17.571
8408,5,b,,2,cube,FALSE,NA,NA,NA,na,0,0,0,0,NA,NA,FALSE,na,FALSE,1,gabri,"missed preloaded cube, didnt do anything, just drove around",2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,67.5
3735,6,r,,1,NA,FALSE,NA,NA,NA,na,0,0,0,0,NA,NA,FALSE,na,FALSE,3,harold,no show. ,2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,67.5
3743,6,r,,2,NA,FALSE,NA,NA,NA,na,0,0,0,0,NA,NA,FALSE,na,FALSE,1,Ha,died. Pancake bot. ,2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,67.5
4734,6,b,,1,cube,FALSE,NA,NA,20,na,0,2,0,1,NA,"20,11,2,17",FALSE,engage,FALSE,3,Perumandla,Slow intake and slow drive,5,2,2,5,7,1,2,0,0,0,1,1,4,1,1,1,13,6,19,25.8
2158,7,r,,1,cone,FALSE,NA,NA,NA,na,0,2,2,0,"9,7,4,6",8,FALSE,engage,FALSE,4,harold,intake seemed a bit difficult to control. scored high quite consistently. pretty good on climb. auton extended the arm but did nothing after for some reason. ,5,2,5,2,7,5,0,0,0,0,0,4,1,1,1,0,10,0,10,26.4
2950,7,r,,3,NA,FALSE,NA,NA,NA,na,0,0,0,0,NA,NA,FALSE,na,FALSE,1,Ha,"Attempted, but too unwieldy and slow to play any defense. was defended by a pancake bot. ",2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,67.5
4295,7,b,,1,NA,FALSE,NA,NA,NA,engage,0,0,0,0,NA,NA,FALSE,engage,FALSE,1,novinski,"Didn't die but didn't do anything, just meandered, no attempts to intake, no auton",2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,66.8
9054,7,b,,2,NA,TRUE,NA,NA,NA,na,0,0,0,0,NA,NA,FALSE,na,FALSE,2,gabri,"once again, didn't do anything because theres no intake",2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,67.5
7119,8,r,,3,NA,FALSE,NA,NA,NA,na,0,1,0,0,NA,NA,FALSE,na,FALSE,2,Rengarajan,failed to intake,2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,67.5
3847,1,b,,1,cube,TRUE,NA,NA,21,na,0,2,4,0,"18,16","21,22",FALSE,engage,FALSE,4,ha,"scores mid, but seems able to score high. overshot a cone. cube shooted, coneplacer. POssibly uses charge station to aim.",4,2,3,3,6,0,2,0,0,0,1,2,2,1,1,2,16,12,28,32.6
4734,2,b,,3,cube,FALSE,NA,NA,26,na,0,1,2,0,NA,"26,25,14,8",FALSE,fail,FALSE,2,ha,bad maneuverability. cube bot. slid off charge station. intake unreliable. ,5,2,2,5,7,1,1,0,0,0,1,1,4,1,1,2,15,12,27,27
7540,3,b,,3,cube,FALSE,NA,NA,NA,na,0,1,0,0,NA,27,FALSE,na,FALSE,2,ha,intake is extremely flimsy and unreliable and requires too much precision. knew to not go on charge station and mess up engage (Game awareness). ,2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,1,5,6,11,67.5
6672,4,b,,3,cone,TRUE,NA,9,NA,na,1,4,0,0,"9,7,6,4","8,5,2",FALSE,engage,FALSE,5,ha,driver is good. Good speed. Needs a little more speed when placing cones.autobalance is good. ,7,2,5,4,9,7,0,0,1,0,0,4,3,1,1,0,14,3,17,19.043
3847,8,b,,1,cube,FALSE,NA,NA,"2,20",dock,0,3,2,0,"7,6,24,25","2,20",FALSE,engage,FALSE,4,harold,intake seemed to be malfunctioning for a little bit. climbs very well.,6,3,5,4,9,3,0,0,1,0,1,4,2,1,2,3,21,21,42,21.667
9311,9,b,,1,NA,FALSE,NA,NA,NA,na,1,2,0,0,19,21,FALSE,fail,FALSE,3,harold,had an elevator intake that could only really intake standing cones and cubes. the intake was a little wobbly. it was also slow as an elevator. could not climb very well. the tank drive made it VERY difficult.,2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,2,10,12,22,59
3735,10,b,,1,NA,FALSE,NA,NA,NA,na,0,0,0,0,NA,NA,FALSE,na,FALSE,3,harold,no show,2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,67.5
9289,11,b,,2,cube,FALSE,NA,NA,NA,na,0,0,0,0,NA,24,FALSE,fail,FALSE,1,Ha,"failed auton, unable to move most of the match. ",2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,1,5,6,11,67.5
4734,12,b,,3,cube,FALSE,NA,NA,NA,na,0,2,0,0,27,"17,26",FALSE,engage,FALSE,3,gabri,"pretty slow, put cubes successfully with intake, only pushed cones in.",3,2,2,3,5,0,1,0,0,0,0,1,2,1,1,2,13,12,25,44.067
2881,13,b,,3,cone,TRUE,NA,9,NA,na,0,0,0,4,"9,7,6,18",8,FALSE,engage,FALSE,4,brittian,"great bot, intake is a little off",5,2,5,2,7,4,1,0,1,0,0,4,1,1,1,0,11,3,14,26.2
5866,1,b,,2,NA,FALSE,NA,NA,NA,na,0,1,0,1,NA,NA,FALSE,na,FALSE,1,cobleigh,dropped all things they intaked.,2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,67.5
6180,2,b,,1,cone,TRUE,NA,NA,NA,na,0,0,0,1,NA,NA,FALSE,dock,FALSE,2,cobleigh,not partivularly fast. Not great at scoring,2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,60
4610,3,b,,3,cube,TRUE,NA,NA,NA,na,0,3,0,2,NA,"8,5,2,11,14,26",FALSE,na,FALSE,3,cobleigh,works pretty efficiently. did not try to climb at all. hit into teamate robot once.,7,2,2,7,9,3,2,0,0,0,0,1,6,1,1,1,17,6,23,19.286
7091,4,b,,2,NA,FALSE,NA,NA,NA,na,0,0,0,0,NA,NA,FALSE,park,FALSE,1,cobleigh,no intake or shooter. had penalties for hitting robots in their community zone.,2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,57.5
9311,5,b,,1,cube,FALSE,NA,NA,NA,na,0,2,0,0,NA,20,FALSE,fail,FALSE,1,cobleigh,very very slow. tipped over at the end while attempting to climb.,2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,1,5,6,11,62.5
8769,6,b,,1,NA,FALSE,NA,NA,NA,na,0,0,0,0,NA,NA,FALSE,na,FALSE,3,brittian,no show,2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,67.5
2789,9,b,,2,cube,FALSE,NA,NA,NA,na,0,0,0,0,NA,22,FALSE,fail,FALSE,1,cobleigh,very poor intake. not sure if they even had one.,2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,1,5,6,11,57.5
8408,10,b,,2,NA,FALSE,NA,NA,NA,na,0,1,0,0,NA,"25,21,20,26",FALSE,park,FALSE,3,cobleigh,"not much of an intake, just slid cubes around. decently consistent low scrorer.",5,2,2,5,7,0,0,0,0,0,0,1,4,1,1,4,20,24,44,25
